yld,yld_inf,yld_sup,fungicide
473.40781237606166,376.2692061521306,570.5464185999926,AZOX + TEBU 2X
425.0395956743913,320.1539419186312,529.9252494301514,PYRA + METC 1X
546.167978418715,453.1001555130767,639.2358013243534,PYRA + METC 2X
459.65325612486464,353.4863689248475,565.8201433248818,TEBU 2X
505.19093176032055,415.6877040618999,594.6941594587412,TFLX + PROT 2X
479.44366518473055,394.69341332007184,564.1939170493893,TFLX + TEBU 2X
