yld_rel,yld_rel_inf,yld_rel_sup,fungicide
14.930522815270564,11.72372758012996,18.229362380678825,AZOX + TEBU 2X
13.171336494677966,9.960405284950635,16.476029447160666,PYRA + METC 1X
17.40113174828344,14.530970766401264,20.34321933662666,PYRA + METC 2X
14.833310989613157,11.455036186310274,18.31398350446989,TEBU 2X
16.361073312286024,13.303850870136213,19.500787293681874,TFLX + PROT 2X
14.876035580309189,12.11835565925341,17.70154381103182,TFLX + TEBU 2X
