fungicide,yld,yld_inf,yld_sup
AZOX + TEBU 2X,465.3908482718993,365.5226504527818,565.2590460910168
PIRA + METC 1X,415.23683225294394,308.08957422599,522.3840902798979
PIRA + METC 2X,534.4291140655799,437.6987363725516,631.1594917586083
TEBU 2X,449.7738956645743,339.94720395263795,559.6005873765107
TFLX + PROT 2X,498.6728903233043,403.5982364061045,593.7475442405041
TFLX + TEBU 2X,481.37244748389907,391.4104941069183,571.3344008608799
